PLOT,SPCD,STATECD,PLT_CN,INVYR,CYCLE,MEASYEAR,COND_CN,CONDID,STATUSCD,COND_STATUS_CD,LAT,LON,BALIVE,SICOND,DSTRBCD1,DSTRBYR1,DSTRBCD2,DSTRBYR2,DSTRBCD3,DSTRBYR3,SDIMAX_RMRS,SDI_RMRS,SLOPE,ASPECT,CONDPROP_UNADJ,RECONCILECD,TPA_UNADJ,MORTYR,ADFORCD,TREESALL,TOTALDEAD,DEADPROP,INSECT,DISEASE,FIRE,disturbance_type
80428,101,16,37276032010690,2010,2,2010,42524938010690,2,2,1,44.544817,-113.529264,10.2215,23,10,2009,0,NA,0,NA,735,32.6305,32,248,0.25,NA,6.018046,NA,413,3,3,1,1,0,0,INSECT
80431,101,16,5379711010690,2005,2,2005,5379714010690,1,1,1,48.889406,-116.72518,35.659,41,0,NA,NA,NA,NA,NA,735,70.2552,35,127,1,NA,6.018046,NA,104,2,0,0,0,0,0,None
80454,101,16,37275767010690,2010,2,2011,50634766020004,3,1,1,43.861281,-114.135178,54.5206,45,0,NA,0,NA,0,NA,450,101.6682,40,225,0.25,NA,6.018046,NA,413,2,0,0,0,0,0,None
80464,101,16,12275835010690,2007,2,2007,12275838010690,1,2,1,44.433558,-114.457052,23.1314,21,46,9999,0,NA,NA,NA,735,52.9185,65,72,1,NA,6.018046,NA,413,8,8,1,0,0,0,None
80533,101,16,35371648010690,2009,2,2009,39515742010690,1,1,1,43.92424,-115.003597,68.6733,25,0,NA,NA,NA,NA,NA,735,124.2504,46,249,1,NA,6.018046,NA,414,1,0,0,0,0,0,None
80612,101,16,4716780010690,2004,2,2004,4716783010690,1,2,1,43.824299,-114.508367,4.5049,28,95,9999,0,NA,NA,NA,450,9.4772,45,125,1,NA,6.018046,NA,414,1,1,1,0,0,0,None
80681,101,16,5397970010690,2005,2,2005,5397973010690,1,1,1,45.188711,-115.73055600000001,110.583,33,0,NA,NA,NA,NA,NA,670,231.9138,2,0,1,NA,6.018046,NA,412,1,0,0,0,0,0,None
80709,101,16,31363238010690,2008,2,2008,31363241010690,1,1,1,45.810362,-114.618585,113.6801,41,12,2008,0,NA,NA,NA,595,220.1201,27,277,1,NA,6.018046,NA,103,8,6,0.75,1,0,0,INSECT
80760,101,16,40390796010690,2012,2,2012,195374207020004,1,2,1,44.676841,-114.478766,3.296,NA,30,2007,0,NA,0,NA,735,6.8828,60,290,1,NA,6.018046,2007,413,13,12,0.9230769230769231,0,0,1,FIRE
80811,101,16,37275739010690,2010,2,2010,42508548010690,1,1,1,44.457506,-114.671518,104.9565,30,12,9999,0,NA,0,NA,595,158.8926,58,280,1,NA,6.018046,NA,413,5,3,0.6,1,0,0,INSECT
80868,101,16,5377210010690,2005,2,2005,5377213010690,1,1,1,43.738069,-114.642287,117.466,42,0,NA,NA,NA,NA,NA,595,159.8836,70,23,1,NA,6.018046,NA,414,3,1,0.3333333333333333,0,0,0,None
80909,101,16,40391556010690,2013,2,2013,273509436489998,1,2,1,44.698203,-115.421804,0,NA,0,NA,0,NA,0,NA,735,0,25,196,1,NA,6.018046,2007,413,6,6,1,0,0,0,None
80937,101,16,11798915010690,2006,2,2006,11798918010690,1,1,1,44.670376,-114.348039,5.5307,32,12,9999,0,NA,NA,NA,700,13.6493,20,184,1,NA,74.965282,NA,413,2,0,0,1,0,0,INSECT
80990,101,16,37275887010690,2010,2,2011,42514498010690,1,2,1,45.990882,-114.932127,17.7205,29,0,NA,0,NA,0,NA,595,32.1447,43,250,1,NA,6.018046,NA,117,4,4,1,0,0,0,None
81010,101,16,5377806010690,2005,2,2005,5377809010690,1,2,1,44.239461,-115.18578,0,19,30,2004,0,NA,NA,NA,735,0,75,214,1,NA,6.018046,2004,402,5,5,1,0,0,1,FIRE
81018,101,16,5382377010690,2005,2,2005,5382380010690,1,1,1,46.667174,-114.776673,93.3793,19,0,NA,NA,NA,NA,NA,670,195.6272,65,242,1,NA,74.965282,NA,105,14,3,0.21428571428571427,0,0,0,None
81026,101,16,40391573010690,2012,2,2012,195381222020004,1,1,2,44.472509,-116.126416,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,1,NA,6.018046,NA,402,1,0,0,0,0,0,None
81036,101,16,40390560010690,2012,2,2012,195370844020004,1,2,1,45.932262,-115.029978,65.4292,20,30,2008,0,NA,0,NA,735,134.8754,72,262,1,NA,6.018046,NA,117,7,3,0.42857142857142855,0,0,1,FIRE
81056,101,16,35372120010690,2009,2,2010,42491646010690,1,2,1,44.773695,-114.726341,9.4327,39,30,2009,0,NA,0,NA,700,16.7488,33,63,0.75,NA,6.018046,NA,413,2,2,1,0,0,1,FIRE
